Time: 5.8002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.8502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.9002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.9502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 6.0002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 6.0501 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 6.1001 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 6.1502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 6.2002 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.0
Time: 16.2095 | X_err: -0.875 | Y_err: -0.875 | Z_err: 0.0 | Theta_err: 3.1059
Time: 16.2096 | X_err: -0.875 | Y_err: -0.875 | Z_err: 0.0 | Theta_err: 3.1059
Time: 16.2598 | X_err: -0.877901077271 | Y_err: -0.877800941467 | Z_err: 0.0 | Theta_err: 3.1059
Time: 16.3097 | X_err: -0.877901077271 | Y_err: -0.877800941467 | Z_err: 0.0 | Theta_err: 3.1059
Time: 16.3598 | X_err: -0.877901077271 | Y_err: -0.877800941467 | Z_err: 0.0 | Theta_err: 3.1059
Time: 16.4097 | X_err: -0.877901077271 | Y_err: -0.877800941467 | Z_err: 0.0 | Theta_err: 3.106
Time: 16.4597 | X_err: -0.879841804504 | Y_err: -0.880561828613 | Z_err: 0.0 | Theta_err: 3.1061
Time: 16.5097 | X_err: -0.879841804504 | Y_err: -0.880561828613 | Z_err: 0.0 | Theta_err: 3.1061
Time: 16.5599 | X_err: -0.879841804504 | Y_err: -0.880561828613 | Z_err: 0.0 | Theta_err: 3.1072
Time: 16.6097 | X_err: -0.879841804504 | Y_err: -0.880561828613 | Z_err: 0.0 | Theta_err: 3.1072
Time: 16.6598 | X_err: -0.866847038269 | Y_err: -0.865747451782 | Z_err: 0.0 | Theta_err: 3.1093
Time: 16.7098 | X_err: -0.866847038269 | Y_err: -0.865747451782 | Z_err: 0.0 | Theta_err: 3.1093
Time: 16.7598 | X_err: -0.866847038269 | Y_err: -0.865747451782 | Z_err: 0.0 | Theta_err: 3.11
Time: 16.8097 | X_err: -0.866847038269 | Y_err: -0.865747451782 | Z_err: 0.0 | Theta_err: 3.11
Time: 16.8598 | X_err: -0.821050643921 | Y_err: -0.821662902832 | Z_err: 0.0 | Theta_err: 3.1096
Time: 16.9098 | X_err: -0.821050643921 | Y_err: -0.821662902832 | Z_err: 0.0 | Theta_err: 3.1096
Time: 16.9598 | X_err: -0.821050643921 | Y_err: -0.821662902832 | Z_err: 0.0 | Theta_err: 3.1089
Time: 17.0098 | X_err: -0.821050643921 | Y_err: -0.821662902832 | Z_err: 0.0 | Theta_err: 3.1089
Time: 17.0598 | X_err: -0.760402679443 | Y_err: -0.762241363525 | Z_err: 0.0 | Theta_err: 3.1085
Time: 17.1097 | X_err: -0.760402679443 | Y_err: -0.762241363525 | Z_err: 0.0 | Theta_err: 3.1085
Time: 17.1598 | X_err: -0.760402679443 | Y_err: -0.762241363525 | Z_err: 0.0 | Theta_err: 3.1082
Time: 17.2098 | X_err: -0.760402679443 | Y_err: -0.762241363525 | Z_err: 0.0 | Theta_err: 3.1082
Time: 17.2598 | X_err: -0.683690071106 | Y_err: -0.680791854858 | Z_err: 0.0 | Theta_err: 3.1081
Time: 17.3098 | X_err: -0.683690071106 | Y_err: -0.680791854858 | Z_err: 0.0 | Theta_err: 3.1081
Time: 17.3598 | X_err: -0.683690071106 | Y_err: -0.680791854858 | Z_err: 0.0 | Theta_err: 3.1077
Time: 17.4098 | X_err: -0.683690071106 | Y_err: -0.680791854858 | Z_err: 0.0 | Theta_err: 3.1077
Time: 17.4598 | X_err: -0.593465805054 | Y_err: -0.585412979126 | Z_err: 0.0 | Theta_err: 3.1072
Time: 17.5098 | X_err: -0.593465805054 | Y_err: -0.585412979126 | Z_err: 0.0 | Theta_err: 3.1072
Time: 17.5598 | X_err: -0.593465805054 | Y_err: -0.585412979126 | Z_err: 0.0 | Theta_err: 3.1069
Time: 17.6097 | X_err: -0.593465805054 | Y_err: -0.585412979126 | Z_err: 0.0 | Theta_err: 3.1069
Time: 17.6598 | X_err: -0.491586685181 | Y_err: -0.48082447052 | Z_err: 0.0 | Theta_err: 3.1067
Time: 17.7098 | X_err: -0.491586685181 | Y_err: -0.48082447052 | Z_err: 0.0 | Theta_err: 3.1067
Time: 17.7598 | X_err: -0.491586685181 | Y_err: -0.48082447052 | Z_err: 0.0 | Theta_err: 3.1063
Time: 17.8098 | X_err: -0.491586685181 | Y_err: -0.48082447052 | Z_err: 0.0 | Theta_err: 3.1063
Time: 17.8597 | X_err: -0.386826515198 | Y_err: -0.369245529175 | Z_err: 0.0 | Theta_err: 3.1062
Time: 17.9098 | X_err: -0.386826515198 | Y_err: -0.369245529175 | Z_err: 0.0 | Theta_err: 3.1062
Time: 17.9598 | X_err: -0.386826515198 | Y_err: -0.369245529175 | Z_err: 0.0 | Theta_err: 3.1059
Time: 18.0098 | X_err: -0.386826515198 | Y_err: -0.369245529175 | Z_err: 0.0 | Theta_err: 3.1059
Time: 18.0598 | X_err: -0.283615112305 | Y_err: -0.261702537537 | Z_err: 0.0 | Theta_err: 3.1059
Time: 18.1097 | X_err: -0.283615112305 | Y_err: -0.261702537537 | Z_err: 0.0 | Theta_err: 3.1059
Time: 18.1597 | X_err: -0.283615112305 | Y_err: -0.261702537537 | Z_err: 0.0 | Theta_err: 3.1057
Time: 18.2097 | X_err: -0.283615112305 | Y_err: -0.261702537537 | Z_err: 0.0 | Theta_err: 3.1057
Time: 18.2597 | X_err: -0.185438156128 | Y_err: -0.159676551819 | Z_err: 0.0 | Theta_err: 3.1055
Time: 18.3097 | X_err: -0.185438156128 | Y_err: -0.159676551819 | Z_err: 0.0 | Theta_err: 3.1055
Time: 18.3598 | X_err: -0.185438156128 | Y_err: -0.159676551819 | Z_err: 0.0 | Theta_err: 3.1057
Time: 18.4097 | X_err: -0.185438156128 | Y_err: -0.159676551819 | Z_err: 0.0 | Theta_err: 3.1057
Time: 18.4597 | X_err: -0.0949935913086 | Y_err: -0.0672283172607 | Z_err: 0.0 | Theta_err: 3.1059
Time: 18.5098 | X_err: -0.0949935913086 | Y_err: -0.0672283172607 | Z_err: 0.0 | Theta_err: 3.1059
Time: 18.5597 | X_err: -0.0949935913086 | Y_err: -0.0672283172607 | Z_err: 0.0 | Theta_err: 3.1056
Time: 18.6097 | X_err: -0.0949935913086 | Y_err: -0.0672283172607 | Z_err: 0.0 | Theta_err: 3.1056
Time: 18.6598 | X_err: -0.0949935913086 | Y_err: -0.0672283172607 | Z_err: 0.0 | Theta_err: 3.1056
Time: 18.7098 | X_err: -0.0149202346802 | Y_err: 0.0152940750122 | Z_err: 0.0 | Theta_err: 3.1056
Time: 20.712 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 3.1063
Time: 20.7121 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 3.1063
Time: 20.7622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 3.1063
Time: 20.8122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 3.1063
Time: 20.8622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 3.0846
Time: 20.9122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 3.0846
Time: 20.9622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.9419
Time: 21.0122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.9419
Time: 21.0622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.7898
Time: 21.1122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.7898
Time: 21.1622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.6346
Time: 21.2122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.6346
Time: 21.2622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.4785
Time: 21.3122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.4785
Time: 21.3622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.3218
Time: 21.4122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.3218
Time: 21.4622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.1664
Time: 21.5122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.1664
Time: 21.5622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.018
Time: 21.6122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 2.018
Time: 21.6622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.8822
Time: 21.7122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.8822
Time: 21.7622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.7585
Time: 21.8122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.7585
Time: 21.8622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.646
Time: 21.9122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.646
Time: 21.9622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.5433
Time: 22.0122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.5433
Time: 22.0622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.4485
Time: 22.1122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.4485
Time: 22.1622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.3617
Time: 22.2122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.3617
Time: 22.2622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.2825
Time: 22.3122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.2825
Time: 22.3622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.2095
Time: 22.4122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.2095
Time: 22.4622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.1427
Time: 22.5122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.1427
Time: 22.5622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.0814
Time: 22.6122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.0814
Time: 22.6622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.0246
Time: 22.7122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.0246
Time: 22.7622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 1.0246
Time: 22.8122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.9721
Time: 22.8622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.9243
Time: 22.9122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.9243
Time: 22.9622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.8794
Time: 23.0122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.8794
Time: 23.0622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.8384
Time: 23.1122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.8384
Time: 23.1622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.8004
Time: 23.2122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.8004
Time: 23.2623 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.7663
Time: 23.3122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.7663
Time: 23.3622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.7347
Time: 23.4122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.7347
Time: 23.4622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.7053
Time: 23.5122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.7053
Time: 23.5622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.6775
Time: 23.6122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.6775
Time: 23.6623 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.651
Time: 23.7122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.651
Time: 23.7622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.6257
Time: 23.8122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.6257
Time: 23.8622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.6022
Time: 23.9122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.6022
Time: 23.9622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.5796
Time: 24.0122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.5796
Time: 24.0622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.5584
Time: 24.1122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.5584
Time: 24.1622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.538
Time: 24.2122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.538
Time: 24.2622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.538
Time: 24.3122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.5192
Time: 24.3622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.5016
Time: 24.4122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.5016
Time: 24.4622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.4845
Time: 24.5122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.4845
Time: 24.5622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.4684
Time: 24.6122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.4684
Time: 24.6622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.453
Time: 24.7122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.453
Time: 24.7622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.453
Time: 24.8122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.4382
Time: 24.8622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.424
Time: 24.9122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.424
Time: 24.9622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.4109
Time: 25.0122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.4109
Time: 25.0622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.398
Time: 25.1122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.398
Time: 25.1622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.386
Time: 25.2122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.386
Time: 25.2622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.3748
Time: 25.3122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.3748
Time: 25.3622 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.3637
Time: 25.4122 | X_err: 0 | Y_err: 0 | Z_err: 0.0 | Theta_err: 0.3637
